item,resilente_fac,respuesta,n,total_grupo,prop,item_label
ST273Q01JA,No resilente,Algunas clases,2095,4442,0.4716343989194057,No escuchan al profesor/a (Q01)
ST273Q01JA,No resilente,Cada clase,504,4442,0.11346240432237731,No escuchan al profesor/a (Q01)
ST273Q01JA,No resilente,La mayoría de las clases,1207,4442,0.27172444844664567,No escuchan al profesor/a (Q01)
ST273Q01JA,No resilente,Nunca o casi nunca,636,4442,0.14317874831157137,No escuchan al profesor/a (Q01)
ST273Q01JA,Resilente,Algunas clases,284,640,0.44375,No escuchan al profesor/a (Q01)
ST273Q01JA,Resilente,Cada clase,53,640,0.0828125,No escuchan al profesor/a (Q01)
ST273Q01JA,Resilente,La mayoría de las clases,192,640,0.3,No escuchan al profesor/a (Q01)
ST273Q01JA,Resilente,Nunca o casi nunca,111,640,0.1734375,No escuchan al profesor/a (Q01)
ST273Q02JA,No resilente,Algunas clases,1746,4449,0.392447741065408,Ruido en clase (Q02)
ST273Q02JA,No resilente,Cada clase,689,4449,0.1548662620813666,Ruido en clase (Q02)
ST273Q02JA,No resilente,La mayoría de las clases,1118,4449,0.2512924252641043,Ruido en clase (Q02)
ST273Q02JA,No resilente,Nunca o casi nunca,896,4449,0.20139357158912116,Ruido en clase (Q02)
ST273Q02JA,Resilente,Algunas clases,256,660,0.3878787878787879,Ruido en clase (Q02)
ST273Q02JA,Resilente,Cada clase,70,660,0.10606060606060606,Ruido en clase (Q02)
ST273Q02JA,Resilente,La mayoría de las clases,153,660,0.2318181818181818,Ruido en clase (Q02)
ST273Q02JA,Resilente,Nunca o casi nunca,181,660,0.27424242424242423,Ruido en clase (Q02)
ST273Q03JA,No resilente,Algunas clases,1728,4473,0.386317907444668,El profesor/a espera silencio (Q03)
ST273Q03JA,No resilente,Cada clase,550,4473,0.12295998211491169,El profesor/a espera silencio (Q03)
ST273Q03JA,No resilente,La mayoría de las clases,1026,4473,0.22937625754527163,El profesor/a espera silencio (Q03)
ST273Q03JA,No resilente,Nunca o casi nunca,1169,4473,0.26134585289514867,El profesor/a espera silencio (Q03)
ST273Q03JA,Resilente,Algunas clases,258,650,0.39692307692307693,El profesor/a espera silencio (Q03)
ST273Q03JA,Resilente,Cada clase,37,650,0.056923076923076923,El profesor/a espera silencio (Q03)
ST273Q03JA,Resilente,La mayoría de las clases,119,650,0.18307692307692308,El profesor/a espera silencio (Q03)
ST273Q03JA,Resilente,Nunca o casi nunca,236,650,0.3630769230769231,El profesor/a espera silencio (Q03)
ST273Q04JA,No resilente,Algunas clases,1696,4382,0.38703788224554997,El alumnado no trabaja (Q04)
ST273Q04JA,No resilente,Cada clase,321,4382,0.07325422181652214,El alumnado no trabaja (Q04)
ST273Q04JA,No resilente,La mayoría de las clases,679,4382,0.15495207667731628,El alumnado no trabaja (Q04)
ST273Q04JA,No resilente,Nunca o casi nunca,1686,4382,0.3847558192606116,El alumnado no trabaja (Q04)
ST273Q04JA,Resilente,Algunas clases,226,655,0.3450381679389313,El alumnado no trabaja (Q04)
ST273Q04JA,Resilente,Cada clase,20,655,0.030534351145038167,El alumnado no trabaja (Q04)
ST273Q04JA,Resilente,La mayoría de las clases,84,655,0.1282442748091603,El alumnado no trabaja (Q04)
ST273Q04JA,Resilente,Nunca o casi nunca,325,655,0.4961832061068702,El alumnado no trabaja (Q04)
ST273Q06JA,No resilente,Algunas clases,1304,4351,0.29970121811077916,Se distraen con recursos digitales (Q06)
ST273Q06JA,No resilente,Cada clase,592,4351,0.13606067570673408,Se distraen con recursos digitales (Q06)
ST273Q06JA,No resilente,La mayoría de las clases,884,4351,0.20317168467019076,Se distraen con recursos digitales (Q06)
ST273Q06JA,No resilente,Nunca o casi nunca,1571,4351,0.361066421512296,Se distraen con recursos digitales (Q06)
ST273Q06JA,Resilente,Algunas clases,177,655,0.27022900763358776,Se distraen con recursos digitales (Q06)
ST273Q06JA,Resilente,Cada clase,58,655,0.08854961832061069,Se distraen con recursos digitales (Q06)
ST273Q06JA,Resilente,La mayoría de las clases,126,655,0.19236641221374046,Se distraen con recursos digitales (Q06)
ST273Q06JA,Resilente,Nunca o casi nunca,294,655,0.4488549618320611,Se distraen con recursos digitales (Q06)
ST273Q07JA,No resilente,Algunas clases,1321,4403,0.3000227117874177,Se distraen por recursos digitales de otros (Q07)
ST273Q07JA,No resilente,Cada clase,478,4403,0.1085623438564615,Se distraen por recursos digitales de otros (Q07)
ST273Q07JA,No resilente,La mayoría de las clases,748,4403,0.16988416988416988,Se distraen por recursos digitales de otros (Q07)
ST273Q07JA,No resilente,Nunca o casi nunca,1856,4403,0.4215307744719509,Se distraen por recursos digitales de otros (Q07)
ST273Q07JA,Resilente,Algunas clases,167,665,0.2511278195488722,Se distraen por recursos digitales de otros (Q07)
ST273Q07JA,Resilente,Cada clase,43,665,0.06466165413533835,Se distraen por recursos digitales de otros (Q07)
ST273Q07JA,Resilente,La mayoría de las clases,94,665,0.14135338345864662,Se distraen por recursos digitales de otros (Q07)
ST273Q07JA,Resilente,Nunca o casi nunca,361,665,0.5428571428571428,Se distraen por recursos digitales de otros (Q07)
