REGION,ccaa,n_desfav,n_resil,pct_res,mean_score,gasto_pc,partido
72401,Andalucía,501,36,7.18562874251497,434.54260578842315,1012,PP
72402,Aragón,343,47,13.702623906705538,459.204933819242,973,PSOE
72403,Asturias,357,64,17.92717086834734,463.04469813258635,935,PSOE
72404,Islas Baleares,392,47,11.989795918367346,444.0185918367347,957,PSOE
72405,Canarias,490,43,8.775510204081632,438.2885970068027,928,PSOE
72406,Cantabria,393,78,19.84732824427481,477.4878601357082,1161,PRC
72407,Castilla y León,364,62,17.032967032967033,473.6175491758242,966,PP
72408,Castilla-La Mancha,457,42,9.190371991247265,442.9195970824216,1018,PSOE
72409,Cataluña,390,33,8.461538461538462,428.18133145299146,993,ERC
72410,Extremadura,498,49,9.839357429718875,444.7462527443106,1170,PSOE
72411,Galicia,379,53,13.984168865435356,464.85360501319263,996,PP
72412,La Rioja,352,63,17.897727272727273,459.2695337121212,1079,PSOE
72413,Comunidad de Madrid,376,54,14.361702127659576,455.7379616134752,816,PP
72414,Región de Murcia,535,73,13.644859813084112,449.595789470405,1065,PP
72415,Navarra,413,59,14.285714285714285,461.56652017756255,1329,PSN-PSOE
72416,País Vasco,505,46,9.108910891089108,436.0420729372937,1420,EAJ-PNV
72417,Comunidad Valenciana,442,78,17.647058823529413,458.2106367269985,1167,PSOE
72418,NA,129,2,1.550387596899225,391.4993708010336,NA,NA
72419,NA,97,2,2.0618556701030926,383.9923439862543,NA,NA
